dataset,model,lag,lambda_sparse,total_edges_mean,total_edges_std,inst_edges_mean,inst_edges_std,regime_collapsed_sum,regime_collapsed_count
DE,ds3m_causal,1,5.0,946.0,0.0,462.0,0.0,2,2
DE,ds3m_causal,1,10.0,946.0,0.0,462.0,0.0,2,2
DE,ds3m_causal,1,15.0,946.0,0.0,462.0,0.0,2,2
DE,fantom,1,1.0,1948.6666666666667,1518.816095955443,9.666666666666666,16.74315780649915,3,3
DE,fantom,1,5.0,1255.0,478.97573007408215,3.3333333333333335,10.0,9,9
DE,fantom,1,10.0,292.3333333333333,308.5103996086139,15.5,12.21065108829173,2,6
DE,fantom,1,50.0,240.33333333333334,17.00980109623077,0.0,0.0,3,3
DE,fantom,2,1.0,1868.6666666666667,2544.677255239519,20.333333333333332,17.7857620959388,3,3
DE,fantom,2,5.0,1745.0,340.9299048191578,0.0,0.0,6,6
DE,fantom,2,10.0,662.0,361.33640835099914,11.0,19.05255888325765,3,3
DE,fantom,2,50.0,151.5,165.38137742805264,0.75,1.5,4,4
DE,fantom,3,1.0,4587.666666666667,3512.721784219942,11.333333333333334,19.629909152447276,3,3
DE,fantom,3,5.0,945.3333333333334,998.2887023969234,21.333333333333332,18.58314648635514,3,3
DE,fantom,3,10.0,481.6666666666667,346.5967878289315,22.333333333333332,19.347695814575268,3,3
DE,fantom,3,50.0,218.0,119.57842614786331,20.666666666666668,18.009256878986797,3,3
DE_FR,ds3m_causal,1,5.0,1891.0,0.0,930.0,0.0,2,2
DE_FR,ds3m_causal,1,10.0,1891.0,0.0,930.0,0.0,3,3
DE_FR,ds3m_causal,1,15.0,1891.0,0.0,930.0,0.0,2,2
DE_FR,fantom,1,1.0,393.0,2.6457513110645907,0.3333333333333333,0.5773502691896258,3,3
DE_FR,fantom,1,5.0,300.55555555555554,8.368260140422132,0.7777777777777778,0.4409585518440985,9,9
DE_FR,fantom,1,10.0,241.33333333333334,12.583057392117913,0.6666666666666666,0.5773502691896258,3,3
DE_FR,fantom,1,50.0,126.33333333333333,5.507570547286103,0.6666666666666666,0.5773502691896258,3,3
DE_FR,fantom,2,1.0,710.3333333333334,4.16333199893227,1.0,0.0,3,3
DE_FR,fantom,2,5.0,480.3333333333333,13.880441875771348,0.3333333333333333,0.5163977794943222,6,6
DE_FR,fantom,2,10.0,350.0,16.0,0.6666666666666666,0.5773502691896258,3,3
DE_FR,fantom,2,50.0,158.33333333333334,4.509249752822898,1.0,0.0,3,3
DE_FR,fantom,3,1.0,1026.3333333333333,16.623276853055607,0.6666666666666666,0.5773502691896258,3,3
DE_FR,fantom,3,5.0,586.3333333333334,8.144527815247072,0.3333333333333333,0.5773502691896258,3,3
DE_FR,fantom,3,10.0,412.6666666666667,12.583057392117908,0.6666666666666666,0.5773502691896258,3,3
DE_FR,fantom,3,50.0,170.33333333333334,9.50438495292217,0.6666666666666666,0.5773502691896258,3,3
FR,ds3m_causal,1,5.0,561.0,0.0,272.0,0.0,3,3
FR,ds3m_causal,1,10.0,561.0,0.0,272.0,0.0,3,3
FR,ds3m_causal,1,15.0,561.0,0.0,272.0,0.0,3,3
FR,fantom,1,1.0,1643.6666666666667,1272.3778264860375,18.333333333333332,31.75426480542942,3,3
FR,fantom,1,5.0,1433.0,298.6038345366649,0.0,0.0,9,9
FR,fantom,1,10.0,838.0,311.10609122934255,0.0,0.0,3,3
FR,fantom,1,50.0,261.0,37.04051835490427,0.0,0.0,3,3
FR,fantom,2,1.0,3970.0,623.8132733438749,0.0,0.0,3,3
FR,fantom,2,5.0,1874.5,535.3214921895066,0.0,0.0,6,6
FR,fantom,2,10.0,1050.6666666666667,337.63046860929677,0.0,0.0,3,3
FR,fantom,2,50.0,330.6666666666667,35.52933060632206,0.0,0.0,3,3
FR,fantom,3,1.0,6758.333333333333,789.3809811069262,0.0,0.0,3,3
FR,fantom,3,5.0,1872.0,1367.7108612568666,16.0,27.712812921102035,3,3
FR,fantom,3,10.0,1204.3333333333333,284.43862841276206,0.0,0.0,3,3
FR,fantom,3,50.0,362.0,31.575306807693888,0.0,0.0,3,3
